ano,ipc_anual_pct,fuente
1950,7.0000,estimacion_transitoria_pre_1960
1951,9.3000,estimacion_transitoria_pre_1960
1952,5.2000,estimacion_transitoria_pre_1960
1953,4.6000,estimacion_transitoria_pre_1960
1954,5.1000,estimacion_transitoria_pre_1960
1955,7.5000,estimacion_transitoria_pre_1960
1956,15.0000,estimacion_transitoria_pre_1960
1957,12.0000,estimacion_transitoria_pre_1960
1958,12.6000,estimacion_transitoria_pre_1960
1959,6.5000,estimacion_transitoria_pre_1960
1960,1.1778,world_bank_fp_cpi_totl_zg
1961,0.8093,world_bank_fp_cpi_totl_zg
1962,5.7065,world_bank_fp_cpi_totl_zg
1963,8.7437,world_bank_fp_cpi_totl_zg
1964,6.9792,world_bank_fp_cpi_totl_zg
1965,13.2141,world_bank_fp_cpi_totl_zg
1966,6.2404,world_bank_fp_cpi_totl_zg
1967,6.3916,world_bank_fp_cpi_totl_zg
1968,4.9544,world_bank_fp_cpi_totl_zg
1969,2.1603,world_bank_fp_cpi_totl_zg
1970,5.7311,world_bank_fp_cpi_totl_zg
1971,8.2369,world_bank_fp_cpi_totl_zg
1972,8.2723,world_bank_fp_cpi_totl_zg
1973,11.4167,world_bank_fp_cpi_totl_zg
1974,15.6804,world_bank_fp_cpi_totl_zg
1975,16.9533,world_bank_fp_cpi_totl_zg
1976,17.6249,world_bank_fp_cpi_totl_zg
1977,24.5381,world_bank_fp_cpi_totl_zg
1978,19.7737,world_bank_fp_cpi_totl_zg
1979,15.6602,world_bank_fp_cpi_totl_zg
1980,15.5619,world_bank_fp_cpi_totl_zg
1981,14.5493,world_bank_fp_cpi_totl_zg
1982,14.4150,world_bank_fp_cpi_totl_zg
1983,12.1741,world_bank_fp_cpi_totl_zg
1984,11.2803,world_bank_fp_cpi_totl_zg
1985,8.8145,world_bank_fp_cpi_totl_zg
1986,8.7949,world_bank_fp_cpi_totl_zg
1987,5.2480,world_bank_fp_cpi_totl_zg
1988,4.8373,world_bank_fp_cpi_totl_zg
1989,6.7914,world_bank_fp_cpi_totl_zg
1990,6.7218,world_bank_fp_cpi_totl_zg
1991,5.9342,world_bank_fp_cpi_totl_zg
1992,5.9245,world_bank_fp_cpi_totl_zg
1993,4.5691,world_bank_fp_cpi_totl_zg
1994,4.7184,world_bank_fp_cpi_totl_zg
1995,4.6738,world_bank_fp_cpi_totl_zg
1996,3.5588,world_bank_fp_cpi_totl_zg
1997,1.9711,world_bank_fp_cpi_totl_zg
1998,1.8343,world_bank_fp_cpi_totl_zg
1999,2.3103,world_bank_fp_cpi_totl_zg
2000,3.4335,world_bank_fp_cpi_totl_zg
2001,3.5898,world_bank_fp_cpi_totl_zg
2002,3.0657,world_bank_fp_cpi_totl_zg
2003,3.0389,world_bank_fp_cpi_totl_zg
2004,3.0392,world_bank_fp_cpi_totl_zg
2005,3.3688,world_bank_fp_cpi_totl_zg
2006,3.5156,world_bank_fp_cpi_totl_zg
2007,2.7868,world_bank_fp_cpi_totl_zg
2008,4.0753,world_bank_fp_cpi_totl_zg
2009,-0.2878,world_bank_fp_cpi_totl_zg
2010,1.7999,world_bank_fp_cpi_totl_zg
2011,3.1961,world_bank_fp_cpi_totl_zg
2012,2.4461,world_bank_fp_cpi_totl_zg
2013,1.4086,world_bank_fp_cpi_totl_zg
2014,-0.1511,world_bank_fp_cpi_totl_zg
2015,-0.5004,world_bank_fp_cpi_totl_zg
2016,-0.2026,world_bank_fp_cpi_totl_zg
2017,1.9561,world_bank_fp_cpi_totl_zg
2018,1.6750,world_bank_fp_cpi_totl_zg
2019,0.6995,world_bank_fp_cpi_totl_zg
2020,-0.3228,world_bank_fp_cpi_totl_zg
2021,3.0931,world_bank_fp_cpi_totl_zg
2022,8.3906,world_bank_fp_cpi_totl_zg
2023,3.5324,world_bank_fp_cpi_totl_zg
2024,2.7471,world_bank_fp_cpi_totl_zg
2025,2.6999,world_bank_fp_cpi_totl_zg
